SVN,Frame,Memory,Memory (Managed),Gen 0 GC,Gen 1 GC,Gen 2 GC,Processors,Frame Rate,Frame Time,Shadow Primitives,Render Primitives,Render Process,Updater Process,Loader Process,Sound Process
1.6,488,0,165523680,747,94,37,4,23,0.044064,2812,3643,97,21,0,2
1.6,489,0,165547992,747,94,37,4,23,0.043669,2812,3643,97,21,0,2
1.6,490,0,165605128,747,94,37,4,23,0.043579,2812,3643,96,19,0,2
1.6,491,0,165654096,747,94,37,4,23,0.043424,2812,3643,96,19,0,2
1.6,492,0,165678616,747,94,37,4,23,0.043086,2812,3643,96,19,0,2
1.6,493,0,165735688,747,94,37,4,24,0.042198,2812,3643,96,19,0,2
1.6,494,0,164110296,748,95,37,4,23,0.042666,2812,3643,96,19,0,2
1.6,495,0,164208384,748,95,37,4,23,0.043576,2812,3643,96,19,0,2
1.6,496,0,164401392,748,95,37,4,23,0.043698,2812,3643,95,31,2,2
1.6,497,0,164540464,748,95,37,4,22,0.045463,2812,3643,95,31,2,2
1.6,498,0,164638480,748,95,37,4,22,0.046066,2812,3643,95,31,2,2
1.6,499,0,164736488,748,95,37,4,21,0.048499,2812,3643,95,31,2,2
1.6,500,0,164826488,748,95,37,4,20,0.050493,2812,3643,95,31,2,2
1.6,501,0,164924656,748,95,37,4,19,0.053115,2812,3643,95,31,2,2
1.6,502,0,165022160,748,95,37,4,18,0.055058,2812,3643,99,15,3,1
1.6,503,0,165120320,748,95,37,4,17,0.057194,2812,3643,99,15,3,1
1.6,504,0,165218192,748,95,37,4,17,0.058531,2812,3643,99,15,3,1
1.6,505,0,165308144,748,95,37,4,17,0.059662,2812,3643,99,15,3,1
1.6,506,0,165405984,748,95,37,4,16,0.060629,2812,3643,99,15,3,1
1.6,507,0,165512352,748,95,37,4,17,0.060499,2812,3643,99,14,0,1
1.6,508,0,165610520,748,95,37,4,17,0.060415,2812,3643,99,14,0,1
1.6,509,0,165700448,748,95,37,4,17,0.059728,2812,3643,99,14,0,1
1.6,510,0,163866272,749,95,37,4,17,0.059785,2812,3643,99,14,0,1
1.6,511,0,163907160,749,95,37,4,18,0.056869,2812,3643,99,14,0,1
1.6,512,0,163964352,749,95,37,4,18,0.055370,2812,3643,99,18,0,2
1.6,513,0,164013384,749,95,37,4,19,0.053668,2812,3643,99,18,0,2
1.6,514,0,164062368,749,95,37,4,19,0.052036,2812,3643,99,18,0,2
1.6,515,0,164086840,749,95,37,4,20,0.049976,2812,3643,99,18,0,2
1.6,516,0,164143728,749,95,37,4,20,0.048793,2812,3643,99,18,0,2
1.6,517,0,164191808,749,95,37,4,21,0.047676,2812,3643,98,20,0,2
1.6,518,0,164224528,749,95,37,4,22,0.046313,2812,3643,98,20,0,2
1.6,519,0,164338552,749,95,37,4,22,0.045723,2812,3643,98,20,0,2
